abstract,author,authoritativeMN,authorLastName,beginDate,"
",,blockedReplicationMN,changePermission,checksum,checksumAlgorithm,class,contactOrganization,datasource,dataUrl,dateModified,datePublished,dateUploaded,decade,documents,eastBoundCoord,edition,endDate,family,fileID,formatId,formatType,gcmdKeyword,genus,geoform,id,identifier,investigator,isDocumentedBy,isPublic,isSpatial,keyConcept,keywords,kingdom,LTERSite,namedLocation,noBoundingBox,northBoundCoord,numberReplicas,obsoletedBy,obsoletes,ogcUrl,order,origin,originator,parameter,phylum,placeKey,preferredReplicationMN,presentationCat,project,pubDate,purpose,readPermission,relatedOrganizations,replicaMN,replicationAllowed,replicaVerifiedDate,resourceMap,rightsHolder,scientificName,sensor,site,size,sku,source,southBoundCoord,species,submitter,term,title,topic,updateDate,webUrl,westBoundCoord,writePermission
CUAHSI Water Data Service for Baltimore Ecosystem Study Precipitation Data,Michael McGuire,urn:node:LTER,Michael McGuire,,,,,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org",b631ac30e265cda3d4fea05b97b2cd49,MD5,,,urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.478.39,2012-06-26T11:30:41.67Z,2010-01-26T00:00:00Z,2010-02-05T00:00:00Z,,,-76.01201,,,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.478.39,eml://ecoinformatics.org/eml-2.0.1,METADATA,,,,doi:10.6073/AA/knb-lter-bes.478.39,doi:10.6073/AA/knb-lter-bes.478.39,Michael McGuire,,true,,,"atmospheric science\,  ecology\,  air pollution\,  rainfall\,  gauge\,  rain,Baltimore\, MD\, Washington\, D.C\, Chesapeake Bay\, Baltimore-Washington\, Maryland",,,,,39.724846,,doi:10.6073/AA/knb-lter-bes.478.41,doi:10.6073/AA/knb-lter-bes.478.38,,,Michael McGuire,,,,,,,,2010-01-26T00:00:00Z,,"public,uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,,,4156,doi:10.6073/AA/knb-lter-bes.478.39,,38.708366,,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,CUAHSI Water Data Service: Baltimore Ecosystem Study Precipitation Data BES ID 478-,,2010-02-05T00:00:00Z,,-77.314186,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org"
"Surface water samples were collected during low tide surveys near ten Georgia Coastal Ecosystem LTER sampling sites in June, 2001. Unfiltered subsamples were immediately preserved with buffered formalin and refrigerated for transport to the laboratory. The abundance of bacteria in each sample was determined using an epifluorescence microscope by counting DAPI-stained cells retained on a 0.2µm polycarbonate filter. This study was part of the GCE-LTER hydrographic monitoring program, and will be repeated quarterly.",Robert E. Hodson,urn:node:LTER,Hodson,2001-06-26T00:00:00Z,,,,"uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org",dc0ccccb6b6b126cb5e92fc4752ceead,MD5,,"Georgia Coastal Ecosystems LTER Project,University of Georgia",urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-gce.115.21,2012-06-26T12:57:25.076Z,2003-01-01T00:00:00Z,2005-07-27T23:00:00Z,,,-81.2205,,2001-06-28T00:00:00Z,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-gce.115.21,eml://ecoinformatics.org/eml-2.1.0,METADATA,,,,doi:10.6073/AA/knb-lter-gce.115.21,doi:10.6073/AA/knb-lter-gce.115.21,Hodson,,true,,,"Sapelo Island,Georgia,USA,GCE,LTER,Populations,abundance,bacteria,DAPI,direct counts,microbial ecology,microscopy",,,,,31.53683,,doi:10.6073/AA/knb-lter-gce.115.22,doi:10.6073/AA/knb-lter-gce.115.20,,,"Georgia Coastal Ecosystems LTER Project,Robert E. Hodson",,,,,,,Georgia Coastal Ecosystems LTER Project,2003-01-01T00:00:00Z,,"public,uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=GCE,o=lter,dc=ecoinformatics,dc=org",,,,43892,doi:10.6073/AA/knb-lter-gce.115.21,,31.304,,"uid=GCE,o=lter,dc=ecoinformatics,dc=org",,June 2001 surface water bacterial abundance at ten Georgia Coastal Ecosystems LTER sampling sites,,2005-07-27T23:00:00Z,,-81.47417,"uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org"
"Surface water samples were collected during low tide survays near ten Georgia Coastal Ecosystem LTER sampling sites in March, 2003. The incorporation of tritiated leucine in unfiltered samples during one hour incubations was measured using a standard microcentrifuge method to estimate bacterial productivity in each sample. This study was part of the GCE-LTER hydrographic monitoring program, and will be repeated quarterly.",Robert E. Hodson,urn:node:LTER,Hodson,2003-03-25T00:00:00Z,,,,"uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org",7845bf79161d45b484f4246520ea2716,MD5,,"Georgia Coastal Ecosystems LTER Project,University of Georgia",urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-gce.101.6,2012-06-26T12:54:23.181Z,2004-01-01T00:00:00Z,2005-04-20T23:00:00Z,,,-81.194084,,2003-03-29T00:00:00Z,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-gce.101.6,eml://ecoinformatics.org/eml-2.0.1,METADATA,,,,doi:10.6073/AA/knb-lter-gce.101.6,doi:10.6073/AA/knb-lter-gce.101.6,Hodson,,true,,,"Sapelo Island,Georgia,USA,GCE,LTER,Trophic Structure,bacteria,bacterial production,leucine,microbial ecology",,,,,31.55025,,doi:10.6073/AA/knb-lter-gce.101.7,doi:10.6073/AA/knb-lter-gce.101.5,,,"Georgia Coastal Ecosystems LTER Project,Robert E. Hodson",,,,,,,Georgia Coastal Ecosystems LTER Project,2004-01-01T00:00:00Z,,"uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org,public",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=GCE,o=lter,dc=ecoinformatics,dc=org",,,,43564,doi:10.6073/AA/knb-lter-gce.101.6,,31.303976,,"uid=GCE,o=lter,dc=ecoinformatics,dc=org",,March 2003 surface water bacterial productivity at ten Georgia Coastal Ecosystems LTER sampling sites,,2005-04-20T23:00:00Z,,-81.494225,"uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org"
"Lat. 39� 24' 45.1"", long. 76� 31' 14.9"".  USGS Quadrangle - Towson
Potential Hazards - Waiver must be signed to go up on tower.
Establishment - May 2001
Datum of Station - 146 METERS above sea level
Equipment - J&S Tipping Bucket Rain Gauge; Data is recorded in trailer next to tower. See Baltimore Ecosystem Study Meteorology Overview here: http://beslter.org/frame7-page_1p.html .","Peter Groffman ,     Email: groffmanp@caryinstitute.org, Gordon M. Heisler, gheisler@fs.fed.us",urn:node:LTER,"Peter Groffman \,     Email: groffmanp@caryinstitute.org\, Gordon M. Heisler\, gheisler@fs.fed.us",,,,,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org",8936665dcb78b03e7a61168acbfadcba,MD5,,,urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.446.29,2012-06-26T11:01:05.426Z,2010-01-07T00:00:00Z,2010-01-08T00:00:00Z,,,-76.01201,,,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.446.29,eml://ecoinformatics.org/eml-2.0.1,METADATA,,,,doi:10.6073/AA/knb-lter-bes.446.29,doi:10.6073/AA/knb-lter-bes.446.29,"Peter Groffman \,     Email: groffmanp@caryinstitute.org\, Gordon M. Heisler\, gheisler@fs.fed.us",,true,,,"atmospheric science\,  ecology\,  air pollution\,  rainfall\,  gauge\,  rain,Baltimore\, MD\, Washington\, D.C\, Chesapeake Bay\, Baltimore-Washington\, Maryland",,,,,39.724846,,doi:10.6073/AA/knb-lter-bes.446.30,doi:10.6073/AA/knb-lter-bes.446.28,,,"Peter Groffman \,     Email: groffmanp@caryinstitute.org\, Gordon M. Heisler\, gheisler@fs.fed.us",,,,,,,,2010-01-07T00:00:00Z,,"public,uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,,,4626,doi:10.6073/AA/knb-lter-bes.446.29,,38.708366,,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,"Climate and Meteorology, Precipitation Data, Station Locations, Photographs, Equipment (USGS): Station: Rain Gauge, Cub Hill (CBHL) BES ID 446-",,2010-01-08T00:00:00Z,,-77.314186,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org"
"Since 1987, we have been monitoring populations of West Slope cutthroat trout (Onchorhyncus clarki clarki) in two standard reaches of Mack Creek in the H.J. Andrews Experimental Forest.  Beginning in 1993, we included monitoring of Pacific Giant Salamanders, Dicamptodon tenebrosus.  The two standard reaches are in a section of clearcut forest (ca. 1963) and an upstream 500 year old coniferous forest.  This study constitutes one of the longest continuous records of salmonid populations on record.",Stanley V. Gregory,urn:node:LTER,Gregory,1987-10-01T00:00:00Z,,,,"uid=AND\,o=lter\,dc=ecoinformatics\,dc=org",505ef0a71c339f460f43ab85b089b93f,MD5,,Andrews Forest LTER Site,urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-and.4027.6,2012-06-26T07:37:44.06Z,2011-07-28T00:00:00Z,2005-07-27T23:00:00Z,,,0.0,,2050-01-01T00:00:00Z,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-and.4027.6,eml://ecoinformatics.org/eml-2.1.0,METADATA,,,,doi:10.6073/AA/knb-lter-and.4027.6,doi:10.6073/AA/knb-lter-and.4027.6,Gregory,,true,,,"Disturbance,Amphibians,Animal populations,Biomass,Demography,Ecology,Fish,Fish habitat,Fish populations,Floods,Herpefauna,Population dynamics,Resistance and resilience,Stream ecology,Timber harvesting,Trout,Vertebrates",,,,,0.0,,doi:10.6073/AA/knb-lter-and.4027.7,doi:10.6073/AA/knb-lter-and.4027.5,,,"Andrews Forest LTER Site,Stanley V. Gregory",,,,,,,Long-Term Ecological Research,2011-07-28T00:00:00Z,,"uid=AND\,o=lter\,dc=ecoinformatics\,dc=org,public",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=AND,o=LTER,dc=ecoinformatics,dc=org",,,,62952,doi:10.6073/AA/knb-lter-and.4027.6,,0.0,,"uid=AND,o=LTER,dc=ecoinformatics,dc=org",,"Aquatic Vertebrate Population Study, Mack Creek, Andrews Experimental Forest",,2005-07-27T23:00:00Z,,0.0,"uid=AND\,o=lter\,dc=ecoinformatics\,dc=org"
CUAHSI Water Data Service for Baltimore Waters Test Bed Ground Water Level Data,Michael McGuire,urn:node:LTER,Michael McGuire,,,,,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org",08e230d542564133fe149d2e5ea9e2d5,MD5,,,urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.481.21,2012-06-26T09:46:42.165Z,2010-01-26T00:00:00Z,2010-02-05T00:00:00Z,,,-76.615204,,,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.481.21,eml://ecoinformatics.org/eml-2.0.1,METADATA,,,,doi:10.6073/AA/knb-lter-bes.481.21,doi:10.6073/AA/knb-lter-bes.481.21,Michael McGuire,,true,,,"atmospheric science\,  ecology\,  air pollution\,  rainfall\,  gauge\,  rain",,,,,39.47381,,doi:10.6073/AA/knb-lter-bes.481.22,,,,Michael McGuire,,,,,,,,2010-01-26T00:00:00Z,,"public,uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,,,3812,doi:10.6073/AA/knb-lter-bes.481.21,,39.24707,,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,Baltimore Waters Test Bed Ground Water Level Data BES ID 481-,,2010-02-05T00:00:00Z,,-76.83928,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org"
"The biomass of plants surveyed in permanent plots at 10 GCE LTER sampling sites in October 2001 was estimated based on allometric relationships between biomass and shoot height and flowering status derived for each site, zone, and species in October 2002. Biomass was only calculated for dominant species, including Spartina alterniflora, S. cynosuroides, Juncus roemerianus, and Zizaniopsis miliacea. This data set is based on GCE plant monitoring survey data set PLT-GCEM-0110, and allometric relationships were based on GCE data set PLT-GCEM-0211b.",Steven C. Pennings,urn:node:LTER,Pennings,2001-10-05T00:00:00Z,,,,"uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org",efa4007f31d5569ce91d8198c50fe891,MD5,,"Georgia Coastal Ecosystems LTER Project,University of Houston",urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-gce.93.37,2012-06-26T14:54:44.559Z,2003-01-01T00:00:00Z,2005-07-27T23:00:00Z,,,-81.19566,,2001-10-17T00:00:00Z,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-gce.93.37,eml://ecoinformatics.org/eml-2.1.0,METADATA,,,,doi:10.6073/AA/knb-lter-gce.93.37,doi:10.6073/AA/knb-lter-gce.93.37,Pennings,,true,,,"Georgia,Sapelo Island,USA,Juncus roemerianus,plants,Scirpus,Spartina alterniflora,Spartina cynosuroides,Zizaniopsis miliacea,GCE,LTER,biomass,flowering,marshes,monitoring,permanent plots,plant communities,plant cover,plant ecology,primary productivity,shoot height,Primary Production",,,,,31.552553,,doi:10.6073/AA/knb-lter-gce.93.38,doi:10.6073/AA/knb-lter-gce.93.33,,,"Georgia Coastal Ecosystems LTER Project,Steven C. Pennings",,,,,,,Georgia Coastal Ecosystems LTER Project,2003-01-01T00:00:00Z,,"public,uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=GCE,o=lter,dc=ecoinformatics,dc=org",,,,77038,doi:10.6073/AA/knb-lter-gce.93.37,,31.304064,,"uid=GCE,o=lter,dc=ecoinformatics,dc=org",,Fall 2001 plant monitoring survey -- biomass calculated from shoot height and flowering status of plants in permanent plots at GCE sampling sites 1-10,,2005-07-27T23:00:00Z,,-81.4935,"uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org"
"Location
Lat. 39� 16' 25.2"", long. 76� 38' 55.2""
Directions

   1. 95 South to Exit 50
   2. Follow signs to 95 North
   3. 95 North to Exit 51 Washington Blvd.
   4. At bottom of ramp there will be a traffic light, make a left here
   5. Just after traffic light is the entrance to the golf course, turn left into the golf course
   6. Keep right on road and follow to parking lot and just beyond is maintanence yard
   7. Gauge is located at corner of chain link fence 
USGS Quadrangle - Baltimore West
Potential Hazards - No potential hazards present themselves.
Establishment - January 2001
Datum of Station - about 63' above sea level
Equipment - J&S Tipping Bucket Rain Gauge with HOBO Data logger inside.   See Baltimore Ecosystem Study Meteorology Overview here: http://beslter.org/frame7-page_1p.html .","Peter Groffman ,     Email: groffmanp@caryinstitute.org, Gordon M. Heisler, gheisler@fs.fed.us",urn:node:LTER,"Peter Groffman \,     Email: groffmanp@caryinstitute.org\, Gordon M. Heisler\, gheisler@fs.fed.us",,,,,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org",cbf988bf6890245f2bbbdf234e543e60,MD5,,,urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.448.35,2012-06-26T11:05:47.709Z,2010-01-07T00:00:00Z,2010-01-08T00:00:00Z,,,-76.01201,,,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.448.35,eml://ecoinformatics.org/eml-2.0.1,METADATA,,,,doi:10.6073/AA/knb-lter-bes.448.35,doi:10.6073/AA/knb-lter-bes.448.35,"Peter Groffman \,     Email: groffmanp@caryinstitute.org\, Gordon M. Heisler\, gheisler@fs.fed.us",,true,,,"atmospheric science\,  ecology\,  air pollution\,  rainfall\,  gauge\,  rain,Baltimore\, MD\, Washington\, D.C\, Chesapeake Bay\, Baltimore-Washington\, Maryland",,,,,39.724846,,doi:10.6073/AA/knb-lter-bes.448.36,doi:10.6073/AA/knb-lter-bes.448.34,,,"Peter Groffman \,     Email: groffmanp@caryinstitute.org\, Gordon M. Heisler\, gheisler@fs.fed.us",,,,,,,,2010-01-07T00:00:00Z,,"public,uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,,,5075,doi:10.6073/AA/knb-lter-bes.448.35,,38.708366,,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,"Climate and Meteorology, Precipitation Data, Station Locations, Photographs, Equipment (USGS): Station: Rain Gauge, Carrol Park Golf Course (CPGC) BES ID 448-",,2010-01-08T00:00:00Z,,-77.314186,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org"
"In fall 2004, herbivore exclosure fences were removed from all Experiment 001 plots in field C except the following: 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 25, 26, 29, 30, 31, 32, 37, 46, 47, 48, 50, 51, 52, and 53. These plots in field C still receive the nutrient treatments prescribed in the  Experiment 001 protocols.",David Tilman,urn:node:LTER,Tilman,1987-01-01T00:00:00Z,,,,"uid=CDR\,o=lter\,dc=ecoinformatics\,dc=org",3c5d95b82485e8af6c0553d429f6df57,MD5,,,urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/knb-lter-cdr.76172.123,2012-07-05T21:21:21.129Z,2012-07-03T00:00:00Z,2012-03-12T23:00:00Z,,,-93.16289,,2002-01-01T00:00:00Z,,https://cn.dataone.org/cn/v1/resolve/knb-lter-cdr.76172.123,eml://ecoinformatics.org/eml-2.1.0,METADATA,,,,knb-lter-cdr.76172.123,knb-lter-cdr.76172.123,Tilman,,true,,,"ecology,ecosystems,nitrogen,roots",,,,,45.44138,,,doi:10.6073/AA/knb-lter-cdr.76172.122,,,David Tilman,,,,,,,,2012-07-03T00:00:00Z,,"public,uid=CDR\,o=lter\,dc=ecoinformatics\,dc=org",,"urn:node:LTER,urn:node:CN",false,"2012-07-05T00:00:00Z,2012-07-05T00:00:00Z",,"uid=CDR,o=LTER,dc=ecoinformatics,dc=org",,,,11031,knb-lter-cdr.76172.123,,45.384865,,"uid=CDR,o=LTER,dc=ecoinformatics,dc=org",,Root biomass data: Herbivory by Nitrogen Interactive Effects on Community and Ecosystem Processes and Dynamics,,2012-03-12T23:00:00Z,,-93.22445,"uid=CDR\,o=lter\,dc=ecoinformatics\,dc=org"
"Permanent plots are a powerful tool for understanding systems over the long term because of the rigorous quantification of patterns in a spatially refined way and because of the comparability of numerous variables measured in the same place. In 1998, 7 plots were surveyed into 3 forests in the study region of the Baltimore Ecosystem Study (BES): Oregon Ridge Park (4 plots), Hillsdale Park (1 plot), and Leakin Park (2 plots). Plots were surveyed in to correct for slope and to achieve an accuracy of plot side length to within 0.5 cm. Plots are 1600 m2 with the exception of the Hillsdale plot which is 900 m2. The Hillsdale plot is smaller to fit within the confines of the forest patch. Sites were selected 1) to represent urban and non-urban forests, 2) away from obvious habitat boundaries or edges, 3) with consistent drainage lines within the plot, and 4) with at least 80 % continuous tree canopy. All vegetation layers were sampled in order to characterize the structure and composition of the plant community. A variety of sampling methods were used for the different layers but all layers were quantified with a high level of detail to minimize variation and to best characterize the plot.","M. L. Cadenasso, Cary Institute of Ecosystem Studies, Millbrook, New York
S.T.A. Pickett, Cary Institute of Ecosystem Studies, Millbrook, New York",urn:node:LTER,"M. L. Cadenasso\, Cary Institute of Ecosystem Studies\, Millbrook\, New York\nS.T.A. Pickett\, Cary Institute of Ecosystem Studies\, Millbrook\, New York",,,,,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org",cf5a2577ba52f32dc22cee50401ebbf4,MD5,,,urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.521.38,2012-06-26T10:25:51.306Z,2003-03-01T00:00:00Z,2010-03-06T00:00:00Z,,,-76.01201,,,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.521.38,eml://ecoinformatics.org/eml-2.0.1,METADATA,,,,doi:10.6073/AA/knb-lter-bes.521.38,doi:10.6073/AA/knb-lter-bes.521.38,"M. L. Cadenasso\, Cary Institute of Ecosystem Studies\, Millbrook\, New York\nS.T.A. Pickett\, Cary Institute of Ecosystem Studies\, Millbrook\, New York",,true,,,"Environmental\, vegetation\, urban ecology\, riparian\, biodiversity\, baltimore\, riparian vegetation\, rural-urban gradient\, hydrology\, exotics\, diversity,Baltimore\, MD\, Washington\, D.C\, Chesapeake Bay\, Baltimore-Washington\, Maryland",,,,,39.724846,,doi:10.6073/AA/knb-lter-bes.521.39,doi:10.6073/AA/knb-lter-bes.521.37,,,"M. L. Cadenasso\, Cary Institute of Ecosystem Studies\, Millbrook\, New York\nS.T.A. Pickett\, Cary Institute of Ecosystem Studies\, Millbrook\, New York",,,,,,,,2003-03-01T00:00:00Z,,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org,public",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,,,5460,doi:10.6073/AA/knb-lter-bes.521.38,,38.708366,,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,Vegetation - Permanent Plots - Seedlings BES ID 521-,,2010-03-06T00:00:00Z,,-77.314186,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org"
"A quadrat survey was conducted in October 2006 to measure the species and size distribution of plants at 10 GCE LTER sampling sites. The quadrats were established as permanent plots at GCE sampling sites in October 2000 by placing wooden stakes at random locations across two nominal zones at each site, designated based on marsh structure (creekbank and high marsh). Several new plots were also added in October 2001, 2002, 2003 and 2004 to replace those lost due to catastrophic wrack disturbance or creek bank erosion. The plots were visually surveyed and the species, shoot height, and flowering status was recorded individually for each shoot over 10 cm in height present in each plot. Observations from plots exhibiting signs of disturbance were noted in the data set. This survey will be repeated annually to assess changes in plant distribution and biomass in relation to environmental changes documented by other GCE LTER monitoring efforts.",Steven C. Pennings,urn:node:LTER,Pennings,2006-10-14T00:00:00Z,,,,"uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org",47e7df31f86e3e3b9b5087976cfb5d15,MD5,,"Georgia Coastal Ecosystems LTER Project,University of Houston",urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-gce.280.14,2012-06-26T14:03:56.051Z,2007-01-01T00:00:00Z,2006-12-18T00:00:00Z,,,-81.19566,,2006-10-17T00:00:00Z,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-gce.280.14,eml://ecoinformatics.org/eml-2.1.0,METADATA,,,,doi:10.6073/AA/knb-lter-gce.280.14,doi:10.6073/AA/knb-lter-gce.280.14,Pennings,,true,,,"Georgia,Sapelo Island,USA,Juncus roemerianus,Panicum,plants,Scirpus,Spartina alterniflora,Spartina cynosuroides,Typha,Zizaniopsis miliacea,GCE,LTER,flowering,marshes,monitoring,permanent plots,plant communities,plant cover,plant ecology,primary productivity,shoot height,Primary Production",,,,,31.552553,,doi:10.6073/AA/knb-lter-gce.280.18,doi:10.6073/AA/knb-lter-gce.280.13,,,"Georgia Coastal Ecosystems LTER Project,Steven C. Pennings",,,,,,,Georgia Coastal Ecosystems LTER Project II,2007-01-01T00:00:00Z,,"uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org,public",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=GCE,o=lter,dc=ecoinformatics,dc=org",,,,50209,doi:10.6073/AA/knb-lter-gce.280.14,,31.304064,,"uid=GCE,o=lter,dc=ecoinformatics,dc=org",,Fall 2006 plant monitoring survey -- shoot height and flowering status of plants in permanent plots at GCE sampling sites 1-10,,2006-12-18T00:00:00Z,,-81.4935,"uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org"
"Despite decades of study we have limited insights into the nature of the pre-European landscape of the northeastern USA and the forces and changes that shaped modern forest patterns. Information on such long-term forest dynamics would provide critical insights into the relationships among environmental change, land-use history and biotic responses and is greatly needed for conservation planning. To address these issues we used modern, historical, and paleoecological approaches to reconstruct the 3500-year history of a New England upland region dominated by oak and (formerly) chestnut forests and to interpret the interactions among climate change, natural and human disturbance, and site factors in controlling vegetation patterns and dynamics at different spatial scales. The results indicate that stand, landscape and regional forest dynamics were most strongly driven by climate, notably an apparent cooling and increase in moisture availability c. 1500 yr BP, and European land-use activities commencing 260 yr BP. However, the abundance of oak and chestnut (fire-tolerant, sprouting species) and the distribution of hemlock (fire-intolerant) at a stand to landscape scale were also influenced by fire, which, in turn, varied with climate and human activity. Despite, or perhaps as a consequence of ongoing disturbance by fire and presumably windstorms in this hurricane-prone region, the pre-European period was marked by two 1000+ year periods of remarkably stable forest composition, separated by an abrupt compositional shift. In contrast, over the past 260 years the vegetation has changed rather continuously in response to human activity, producing stand, landscape and regional patterns that are novel ass well as recent in origin. Chestnut was a major component of some pre-European landscapes in New England, in part because of occasional fire, and that cultural and physical factors have interacted over millennia to control vegetation patterns and dynamics. Our analyses also suggest that the composition of low diversity forests can be remarkably stable over millennia. The range of ecological, cultural and management insights afforded by this study underscores the fundamental utility of very long-term research in science and policy development.",David Foster,urn:node:LTER,"Foster,Orwig",,,,,"uid=HFR\,o=lter\,dc=ecoinformatics\,dc=org",aaf0ab05ff9672aa508aadab056391b5,MD5,,,urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-hfr.73.7,2012-06-26T15:37:03.901Z,2003-01-01T00:00:00Z,2006-03-14T00:00:00Z,,,-72.35,,,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-hfr.73.7,eml://ecoinformatics.org/eml-2.0.1,METADATA,,,,doi:10.6073/AA/knb-lter-hfr.73.7,doi:10.6073/AA/knb-lter-hfr.73.7,"Foster,Orwig",,true,,,"climate change,dendrochronology,fire,human disturbance,land use,natural disturbance,paleoecology",,,,,42.42,,doi:10.6073/AA/knb-lter-hfr.73.8,doi:10.6073/AA/knb-lter-hfr.73.6,,,"David Foster,David Orwig",,,,,,,,2003-01-01T00:00:00Z,,"public,uid=HFR\,o=lter\,dc=ecoinformatics\,dc=org",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=HFR,o=LTER,dc=ecoinformatics,dc=org",,,,20061,doi:10.6073/AA/knb-lter-hfr.73.7,,42.42,,"uid=HFR,o=LTER,dc=ecoinformatics,dc=org",,Long-Term Dynamics of Oak and Chestnut in Central Massachusetts,,2006-03-14T00:00:00Z,,-72.35,"uid=HFR\,o=lter\,dc=ecoinformatics\,dc=org"
