Taxon Name,class
Chlamydomonas sp.,Green Algae (Chlorophyta)
Chlorobotrys sp.,Yellow-Green Algae (Chrysophyta)
Chlorobotrys sp. ,Yellow-Green Algae (Chrysophyta)
Chromulina minima Dofl.,Yellow-Green Algae (Chrysophyta)
Chroococcus dispersus (Keissler) Lemmermann,Blue-Green Algae (Cyanobacteria)
Chroococcus limneticus Lemmermann,Blue-Green Algae (Cyanobacteria)
Chroococcus minutus (Kützing) Nägeli,Blue-Green Algae (Cyanobacteria)
Chroococcus prescottii Drouet & Daily,Blue-Green Algae (Cyanobacteria)
Chroococcus sp.,Blue-Green Algae (Cyanobacteria)
Chroococcus sp. ,Blue-Green Algae (Cyanobacteria)
Chroococcus turgidus (Kützing) Nägeli,Blue-Green Algae (Cyanobacteria)
Chrysocapsa planktonica Pascher,Yellow-Green Algae (Chrysophyta)
Chrysococcus rufescens Klebs,Yellow-Green Algae (Chrysophyta)
Chrysosphaerella longispina Lauterborn,Yellow-Green Algae (Chrysophyta)
Cladophora glomerata (Linnaeus) Kützing,Green Algae (Chlorophyta)
Closteriopsis longissima Lemmermann,Green Algae (Chlorophyta)
Closterium acerosum (Schrank) Ehrenberg,Green Algae (Chlorophyta)
Closterium costatum Corda,Green Algae (Chlorophyta)
Closterium gracile var. elongatum W. West et G.S. West,Green Algae (Chlorophyta)
Closterium kuetzingii Brébisson,Green Algae (Chlorophyta)
Closterium kutzingii Brébisson,Green Algae (Chlorophyta)
Closterium libellula Focke,Green Algae (Chlorophyta)
Closterium lunula (Müller) Nitzsch,Green Algae (Chlorophyta)
Closterium moniliferum Ehrenberg,Green Algae (Chlorophyta)
Closterium parvulum Nägeli,Green Algae (Chlorophyta)
Closterium setaceum Ehrenberg,Green Algae (Chlorophyta)
Closterium sp.,Green Algae (Chlorophyta)
Closterium sp. 1 ANS FWA Adirondacks,Green Algae (Chlorophyta)
Closterium strigosum var. elegans,Green Algae (Chlorophyta)
Closterium strigosum var. elegans ,Green Algae (Chlorophyta)
Closterium venus Kützing,Green Algae (Chlorophyta)
Cocconeis sp. ,Diatoms (Bacillariophyta)
Cocconeis sp. 1 ? ,Diatoms (Bacillariophyta)
Coelastrum cambricum Archer,Green Algae (Chlorophyta)
Coelastrum indicum Turner,Green Algae (Chlorophyta)
Coelastrum microporum Nägeli,Green Algae (Chlorophyta)
Coelastrum proboscideum,Green Algae (Chlorophyta)
Coelastrum proboscideum ,Green Algae (Chlorophyta)
Coelastrum sp.,Green Algae (Chlorophyta)
Coelastrum sphaericum Nägeli,Green Algae (Chlorophyta)
Coelosphaerium aerugineum,Blue-Green Algae (Cyanobacteria)
Coelosphaerium aerugineum ,Blue-Green Algae (Cyanobacteria)
Coelosphaerium kuetzingianum Nägeli,Blue-Green Algae (Cyanobacteria)
Cosmarium granatum Brébisson ex Ralfs,Green Algae (Chlorophyta)
Cosmarium majae Strom,Green Algae (Chlorophyta)
Cosmarium margaritatum (Lund) Roy et Bissett,Green Algae (Chlorophyta)
Cosmarium protractum (Nägeli) deBary,Green Algae (Chlorophyta)
Cosmarium sp.,Green Algae (Chlorophyta)
Cosmarium sp. 1 ANS FWA Adirondacks,Green Algae (Chlorophyta)
Cosmarium sp. 2 ? ,Green Algae (Chlorophyta)
Cosmarium sp. 2 ANS FWA ,Green Algae (Chlorophyta)
Crucigenia apiculata (Lemmermann) Schmidle,Green Algae (Chlorophyta)
Crucigenia crucifera (Wolle) Collins,Green Algae (Chlorophyta)
Crucigenia fenestrata Schmidle,Green Algae (Chlorophyta)
Crucigenia irregularis Wille,Green Algae (Chlorophyta)
Crucigenia quadrata Morren,Green Algae (Chlorophyta)
Crucigenia rectangularis (Braun) Gay,Green Algae (Chlorophyta)
Crucigenia tetrapedia (Kirchner) W. West et G.S. West,Green Algae (Chlorophyta)
Crucigenia tetrapedia (Kirchner) West et West,Green Algae (Chlorophyta)
Crucigenia truncata Smith,Green Algae (Chlorophyta)
Crucigeniella irregularis (Wille) Tsarenko et John,Green Algae (Chlorophyta)
Cryptomonas ovata Ehrenberg,Cryptophytes (Cryptophyta)
Cryptomonas sp.,Cryptophytes (Cryptophyta)
Cryptomonas sp. 0A UL NAWQA 1996 TS,Cryptophytes (Cryptophyta)
Cryptomonas sp. 0A UL NAWQA 1996 TS ,Cryptophytes (Cryptophyta)
Cyclotella bodanica Grunow,Diatoms (Bacillariophyta)
Cyclotella sp.,Diatoms (Bacillariophyta)
Cyclotella sp. 1 ?,Diatoms (Bacillariophyta)
Cylindrocapsa geminella,Green Algae (Chlorophyta)
Cylindrocapsa geminella ,Green Algae (Chlorophyta)
Cylindrocystis brebissonii Meneghini,Green Algae (Chlorophyta)
Cymbella lanceolata (Agardh) Agardh,Diatoms (Bacillariophyta)
Cymbella sp.,Diatoms (Bacillariophyta)
Cymbella sp. 1 ?,Diatoms (Bacillariophyta)
Cystodinium iners Geitler,Dinoflagellates (Pyrrhophyta)
Dactylococcopsis rhaphidioides Hansgirg,Blue-Green Algae (Cyanobacteria)
Dendromonas cryptostylis,Yellow-Green Algae (Chrysophyta)
Dendromonas cryptostylis ,Yellow-Green Algae (Chrysophyta)
Desmidium baileyii (Ralfs) Nordstedt,Green Algae (Chlorophyta)
Desmidium sp.,Green Algae (Chlorophyta)
Desmidium sp. ,Green Algae (Chlorophyta)
Dictyosphaerium ehrenbergianum Nägeli,Green Algae (Chlorophyta)
Dictyosphaerium pulchellum Wood,Green Algae (Chlorophyta)
Dimorphococcus lunatus Braun,Green Algae (Chlorophyta)
Dinobryon attenuatum Hilliard,Yellow-Green Algae (Chrysophyta)
Dinobryon bavaricum Imhof,Yellow-Green Algae (Chrysophyta)
Dinobryon crenulatum W. West et G.S. West,Yellow-Green Algae (Chrysophyta)
Dinobryon crenulatum West et West,Yellow-Green Algae (Chrysophyta)
Dinobryon cylindrica Imhof,Yellow-Green Algae (Chrysophyta)
Dinobryon cylindricum var. palustre Lemmermann,Yellow-Green Algae (Chrysophyta)
Dinobryon divergens Imhof,Yellow-Green Algae (Chrysophyta)
Dinobryon sertularia Ehrenberg,Yellow-Green Algae (Chrysophyta)
Dinobryon sociale var. americana Bachmann,Yellow-Green Algae (Chrysophyta)
Dinobryon sp. 1 ANS FWA Adirondacks,Yellow-Green Algae (Chrysophyta)
Dinobryon suecicum Lemmermann,Yellow-Green Algae (Chrysophyta)
Diploneis sp.,Diatoms (Bacillariophyta)
Diploneis sp. 1 ?,Diatoms (Bacillariophyta)
Dispora crucigenioides Printz,Green Algae (Chlorophyta)
Docidium undulatum Bailey,Green Algae (Chlorophyta)
Elakatothrix gelatinosa Wille,Green Algae (Chlorophyta)
Euastrum abruptum Nordstedt,Green Algae (Chlorophyta)
Euastrum binale (Turpin) Ehrenberg,Green Algae (Chlorophyta)
Euastrum denticulatum (Kirchner) Gay,Green Algae (Chlorophyta)
Euastrum evolutum West et West,Green Algae (Chlorophyta)
Euastrum fissum W. West et G.S. West,Green Algae (Chlorophyta)
Euastrum insulare (Wittrock) Roy,Green Algae (Chlorophyta)
Euastrum insulare var. lacustre (Messikommer) Krie,Green Algae (Chlorophyta)
Euastrum pinnatum Ralfs,Green Algae (Chlorophyta)
Euastrum pulchellum Brébisson,Green Algae (Chlorophyta)
Euastrum sinuosum Lenormand,Green Algae (Chlorophyta)
Euastrum sp.,Green Algae (Chlorophyta)
Eudorina elegans Ehrenberg,Green Algae (Chlorophyta)
Euglena sp.,Euglenoids (Euglenophyta)
Eunotia flexuosa Brébisson ex Kützing,Diatoms (Bacillariophyta)
Eunotia pectinalis var. minor (Kützing) Rabenhorst,Diatoms (Bacillariophyta)
Eunotia sp.,Diatoms (Bacillariophyta)
Eunotia sp. 1 ?,Diatoms (Bacillariophyta)
Eunotia tautoniensis Hustedt ex Patrick,Diatoms (Bacillariophyta)
Fragilaria capucina Desmazières,Diatoms (Bacillariophyta)
Fragilaria crotonensis Kitton,Diatoms (Bacillariophyta)
Fragilaria sp.,Diatoms (Bacillariophyta)
Fragilaria sp. 1 ?,Diatoms (Bacillariophyta)
Frustulia rhomboides (Ehrenberg) deToni,Diatoms (Bacillariophyta)
Frustulia saxonica Rabenhorst,Diatoms (Bacillariophyta)
Frustulia sp.,Diatoms (Bacillariophyta)
Frustulia sp. 1 ?,Diatoms (Bacillariophyta)
Geitlerinema sp.,Blue-Green Algae (Cyanobacteria)
Geitlerinema splendidum (Greville) Anagnostidis,Blue-Green Algae (Cyanobacteria)
Gloeobotrys limneticus Pascher,Yellow-Green Algae (Chrysophyta)
Gloeocapsa aeruginosa Kützing,Blue-Green Algae (Cyanobacteria)
Gloeocapsa punctata Nägeli,Blue-Green Algae (Cyanobacteria)
Gloeocystis plactonica (West & West) Lemmermann,Green Algae (Chlorophyta)
Gloeocystis sp.,Green Algae (Chlorophyta)
Gloeocystis vesiculosa Nägeli,Green Algae (Chlorophyta)
Golenkinia radiata Wille,Green Algae (Chlorophyta)
Gomphonema acuminatum var. coronatum (Ehrenberg) Rabenhorst,Diatoms (Bacillariophyta)
Gomphonema sp.,Diatoms (Bacillariophyta)
Gomphonema sp. 1? ,Diatoms (Bacillariophyta)
Gomphosphaeria aponina Kützing,Blue-Green Algae (Cyanobacteria)
Gomphosphaeria lacustris Chodat,Blue-Green Algae (Cyanobacteria)
Gomphosphaeria sp.,Blue-Green Algae (Cyanobacteria)
Gonatozygon aculeatum Hastings,Green Algae (Chlorophyta)
Gonatozygon kinahani Rabenhorst,Green Algae (Chlorophyta)
Gonatozygon pilosum Wolle,Green Algae (Chlorophyta)
Gonium pectorale Möller,Green Algae (Chlorophyta)
Gonium sociale (Dujardin) Warming,Green Algae (Chlorophyta)
Gonyostomum semen,Green Algae (Chlorophyta)
Gonyostomum semen (Ehrenberg) Diesing,Green Algae (Chlorophyta)
Groenbladia neglecta var. elongata,Green Algae (Chlorophyta)
Groenbladia neglecta var. elongata ,Green Algae (Chlorophyta)
Groenbladia undulata (Nordstedt) Förster,Green Algae (Chlorophyta)
Gymnodinium sp.,Dinoflagellates (Pyrrhophyta)
Homoeothrix sp.,Blue-Green Algae (Cyanobacteria)
Homoeothrix sp. ,Blue-Green Algae (Cyanobacteria)
Hyalotheca mucosa (Dillwyn) Ehrenberg,Green Algae (Chlorophyta)
Isthmochloron trispinatum (W. West et G.S. West) Skuja,Yellow-Green Algae (Chrysophyta)
Isthmochloron trispinatum (West et West) Skuja,Yellow-Green Algae (Chrysophyta)
Katodinium sp.,Dinoflagellates (Pyrrhophyta)
Katodinium sp. ,Dinoflagellates (Pyrrhophyta)
Kephyrion limneticum Starm.,Yellow-Green Algae (Chrysophyta)
Kephyrion limneticum Starmach,Yellow-Green Algae (Chrysophyta)
Kephyrion litorale Lund,Yellow-Green Algae (Chrysophyta)
Kephyrion ovale Huber-Pestalozzi,Yellow-Green Algae (Chrysophyta)
Kephyrion sp.,Yellow-Green Algae (Chrysophyta)
Kephyrion sp. ,Yellow-Green Algae (Chrysophyta)
Kirchneriella elongata Smith,Green Algae (Chlorophyta)
Kirchneriella lunaris (Kirchner) K. Möbius,Green Algae (Chlorophyta)
Kirchneriella lunaris (Kirchner) Moebius,Green Algae (Chlorophyta)
Kirchneriella subsolitaria GS West,Green Algae (Chlorophyta)
Komvophoron schmidlei (Jaag) Anagnostidis et Komár,Blue-Green Algae (Cyanobacteria)
Leptolyngbya sp.,Blue-Green Algae (Cyanobacteria)
Lyngbya sp.,Blue-Green Algae (Cyanobacteria)
Lyngbya sp. ,Blue-Green Algae (Cyanobacteria)
Mallomonas sp.,Yellow-Green Algae (Chrysophyta)
"Mallomonas sp. ""a""",Yellow-Green Algae (Chrysophyta)
"Mallomonas sp. ""a"" ",Yellow-Green Algae (Chrysophyta)
"Mallomonas sp. ""c""",Yellow-Green Algae (Chrysophyta)
"Mallomonas sp. ""c"" ",Yellow-Green Algae (Chrysophyta)
"Mallomonas sp. ""p""",Yellow-Green Algae (Chrysophyta)
"Mallomonas sp. ""p"" ",Yellow-Green Algae (Chrysophyta)
Melosira sp.,Diatoms (Bacillariophyta)
Melosira sp. 1 ? ,Diatoms (Bacillariophyta)
Melosira varians Agardh,Diatoms (Bacillariophyta)
Meridion sp.,Diatoms (Bacillariophyta)
Meridion sp. 1 ?,Diatoms (Bacillariophyta)
Meringosphaera spinosa Prescott in Prescott,Yellow-Green Algae (Chrysophyta)
Merismopedia elegans Braun,Blue-Green Algae (Cyanobacteria)
Merismopedia glauca (Ehrenberg) Kützing,Blue-Green Algae (Cyanobacteria)
Merismopedia punctata Meyen,Blue-Green Algae (Cyanobacteria)
Merismopedia sp.,Blue-Green Algae (Cyanobacteria)
Merismopedia sp. ,Blue-Green Algae (Cyanobacteria)
Merismopedia tenuissima Lemmermann,Blue-Green Algae (Cyanobacteria)
Micrasterias jenneri Ralfs,Green Algae (Chlorophyta)
Micrasterias torreyi Bailey ex Ralfs,Green Algae (Chlorophyta)
Microcoleus lyngbyaceus (Kützing) Crouan,Blue-Green Algae (Cyanobacteria)
Microcoleus vaginatus (Vaucher) Gomont,Blue-Green Algae (Cyanobacteria)
Microcystis aeruginosa Kützing,Blue-Green Algae (Cyanobacteria)
Microcystis incerta Lemmermann,Blue-Green Algae (Cyanobacteria)
Microcystis natans,Blue-Green Algae (Cyanobacteria)
Microcystis natans ,Blue-Green Algae (Cyanobacteria)
Microcystis sp.,Blue-Green Algae (Cyanobacteria)
Microspora sp.,Green Algae (Chlorophyta)
Microspora sp. ,Green Algae (Chlorophyta)
Mougeotia sp.,Green Algae (Chlorophyta)
Mougeotia sp. (thin),Green Algae (Chlorophyta)
Mougeotia sp. 1?,Green Algae (Chlorophyta)
Mougeotia sp. 1? ,Green Algae (Chlorophyta)
Navicula sp.,Diatoms (Bacillariophyta)
Neidium sp.,Diatoms (Bacillariophyta)
Nephrocytium agardhiunum Nägeli,Green Algae (Chlorophyta)
Netrium digitus (Ehrenberg) Itzigson et Rothe,Green Algae (Chlorophyta)
Netrium digitus var. curtum,Green Algae (Chlorophyta)
Netrium digitus var. curtum ,Green Algae (Chlorophyta)
"Netrium digitus var. scottii Prescott, Croasdale e",Green Algae (Chlorophyta)
Netrium oblongum (deBary)  Lütkemüller,Green Algae (Chlorophyta)
Nitzschia acicularis (Kützing) Smith,Diatoms (Bacillariophyta)
Nitzschia sigmoidea (Nitzsch) Ehrenberg,Diatoms (Bacillariophyta)
Nitzschia sp.,Diatoms (Bacillariophyta)
Nitzschia sp. 1 ?,Diatoms (Bacillariophyta)
Nodularia sp.,Blue-Green Algae (Cyanobacteria)
Nodularia sp. ,Blue-Green Algae (Cyanobacteria)
Nostoc sp.,Blue-Green Algae (Cyanobacteria)
Nostoc sp. ,Blue-Green Algae (Cyanobacteria)
Oedogonium sp.,Green Algae (Chlorophyta)
Oocystis elliptica West,Green Algae (Chlorophyta)
Oocystis parva W. West et G.S. West,Green Algae (Chlorophyta)
Oocystis parva West et West,Green Algae (Chlorophyta)
Oocystis pusilla Hansgirg,Green Algae (Chlorophyta)
Oocystis solitaria Wittrock,Green Algae (Chlorophyta)
Oocystis sp.,Green Algae (Chlorophyta)
Oocystis sp. ,Green Algae (Chlorophyta)
Oocystis sp. 1 ANS FWA Adirondack,Green Algae (Chlorophyta)
Oocystis sp. 1 ANS FWA Adirondack ,Green Algae (Chlorophyta)
Oocystis submarina Lagerheim,Green Algae (Chlorophyta)
Ophiocytium sp.,Yellow-Green Algae (Chrysophyta)
Ophiocytium sp. ,Yellow-Green Algae (Chrysophyta)
Oscillatoria sp.,Blue-Green Algae (Cyanobacteria)
Oscillatoria sp. ,Blue-Green Algae (Cyanobacteria)
Pandorina morum Bory,Green Algae (Chlorophyta)
Pediastrum biradiatum Meyen,Green Algae (Chlorophyta)
Pediastrum boryanum (Turpin) Meneghini,Green Algae (Chlorophyta)
Pediastrum duplex Meyen,Green Algae (Chlorophyta)
Pediastrum duplex var. clathratum (Braun) Lagerhei,Green Algae (Chlorophyta)
Pediastrum obtusum Lucks,Green Algae (Chlorophyta)
Pediastrum sp.,Green Algae (Chlorophyta)
Pediastrum sp. ,Green Algae (Chlorophyta)
Pediastrum tetras (Ehrenberg) Ralfs,Green Algae (Chlorophyta)
Pediastrum tetras var. tetraodon (Corda) Rabenhors,Green Algae (Chlorophyta)
Penium sp.,Green Algae (Chlorophyta)
Penium sp. ,Green Algae (Chlorophyta)
Penium spinospermum Joshua,Green Algae (Chlorophyta)
Peridinium cinctum (Möller) Ehrenberg,Dinoflagellates (Pyrrhophyta)
Peridinium inconspicuum Lemmermann,Dinoflagellates (Pyrrhophyta)
Peridinium limbatum Lemmermann,Dinoflagellates (Pyrrhophyta)
Peridinium sp.,Dinoflagellates (Pyrrhophyta)
Peridinium willei,Dinoflagellates (Pyrrhophyta)
Peridinium willei ,Dinoflagellates (Pyrrhophyta)
Peridinium wisconsinense Eddy,Dinoflagellates (Pyrrhophyta)
Phacus sp.,Euglenoids (Euglenophyta)
Phacus sp. ,Euglenoids (Euglenophyta)
Phaeobotris solitaria,Yellow-Green Algae (Chrysophyta)
Phormidium formosum,Blue-Green Algae (Cyanobacteria)
Phormidium formosum ,Blue-Green Algae (Cyanobacteria)
Phormidium sp.,Blue-Green Algae (Cyanobacteria)
Phormidium sp. ,Blue-Green Algae (Cyanobacteria)
Pinnularia sp.,Diatoms (Bacillariophyta)
Pinnularia sp. 1 ?,Diatoms (Bacillariophyta)
Planktosphaeria gelatinosa GM Smith,Green Algae (Chlorophyta)
Planktothrix sp.,Blue-Green Algae (Cyanobacteria)
Pleurotaenium coronatum (Brébisson) Rabenhorst,Green Algae (Chlorophyta)
Pleurotaenium cylindricum (Turner) Schmidle,Green Algae (Chlorophyta)
Pleurotaenium ehrenbergi (Brébisson) deBary,Green Algae (Chlorophyta)
Pleurotaenium minutum (Ralfs) Delponte,Green Algae (Chlorophyta)
Pleurotaenium minutum var. longissimum,Green Algae (Chlorophyta)
Pleurotaenium minutum var. longissimum ,Green Algae (Chlorophyta)
Pleurotaenium sceptrum var. borgei,Green Algae (Chlorophyta)
Pleurotaenium sceptrum var. borgei ,Green Algae (Chlorophyta)
Pleurotaenium sp.,Green Algae (Chlorophyta)
Pleurotaenium sp. ,Green Algae (Chlorophyta)
Pleurotaenium trabecula (Ehrenberg) Nägeli,Green Algae (Chlorophyta)
Pleurotaenium trabecula Nägeli,Green Algae (Chlorophyta)
Pleurotaenium verrucosum (Bailey) Lundell,Green Algae (Chlorophyta)
Pseudanabaena sp.,Blue-Green Algae (Cyanobacteria)
Pseudokephyrion parvum Hilliard,Yellow-Green Algae (Chrysophyta)
Pseudokephyrion striatum Hilliard,Yellow-Green Algae (Chrysophyta)
Pteromonas sp.,Green Algae (Chlorophyta)
Quadrigula closterioides (Bohlin) Printz,Green Algae (Chlorophyta)
Quadrigula lacustris (Tanner-Fullman) Smith,Green Algae (Chlorophyta)
Raphidiopsis curvata Fritsch et Rich,Blue-Green Algae (Cyanobacteria)
Rhabdoderma irregulare (Naumann) Geitler,Blue-Green Algae (Cyanobacteria)
Rhabdoderma lineare Schmidle & Lauterborn,Blue-Green Algae (Cyanobacteria)
Rhabdoderma lineare Schmidle et Lauterborn,Blue-Green Algae (Cyanobacteria)
Rhabdoderma sp.,Blue-Green Algae (Cyanobacteria)
Rhabdogloea smithii (Chodat) Komárek,Blue-Green Algae (Cyanobacteria)
Rhodomonas minuta Skuja,Cryptophytes (Cryptophyta)
Rhopalodia sp.,Diatoms (Bacillariophyta)
Rhopalodia sp. 1? ,Diatoms (Bacillariophyta)
Scenedesmus abundans (Kirchner) Chodat,Green Algae (Chlorophyta)
Scenedesmus acutiformis Schröder,Green Algae (Chlorophyta)
Scenedesmus acutus Meyen,Green Algae (Chlorophyta)
Scenedesmus arcuatus Lemmermann,Green Algae (Chlorophyta)
Scenedesmus armatus (Chodat) Smith,Green Algae (Chlorophyta)
Scenedesmus bernardii Smith,Green Algae (Chlorophyta)
Scenedesmus bicaudatus (Hansgirg) Chodat,Green Algae (Chlorophyta)
Scenedesmus brevispina Chodat,Green Algae (Chlorophyta)
Scenedesmus denticulatus Kirchner,Green Algae (Chlorophyta)
Scenedesmus dispar Brébisson,Green Algae (Chlorophyta)
Scenedesmus ecornis (Ralfs) Chodat,Green Algae (Chlorophyta)
Scenedesmus granulatus West & West,Green Algae (Chlorophyta)
Scenedesmus quadricauda (Turpin) Brébisson,Green Algae (Chlorophyta)
Scenedesmus serratus (Corda) Bohlin,Green Algae (Chlorophyta)
Scenedesmus sp.,Green Algae (Chlorophyta)
Scenedesmus sp. ,Green Algae (Chlorophyta)
Scenedesmus spinosus Chodat,Green Algae (Chlorophyta)
Selenastrum minutum (Nägeli) Collins,Green Algae (Chlorophyta)
Sphaerocystis schroederii Chodat,Green Algae (Chlorophyta)
Spirogyra sp.,Green Algae (Chlorophyta)
Spirogyra sp. ,Green Algae (Chlorophyta)
Spondylosium papillosum West et West,Green Algae (Chlorophyta)
Spondylosium planum (Wolle) W. West et G.S. West,Green Algae (Chlorophyta)
Spondylosium planum (Wolle) West et West,Green Algae (Chlorophyta)
Spondylosium secedens (De Bary) Archer,Green Algae (Chlorophyta)
Spondylosium sp.,Green Algae (Chlorophyta)
Spondylosium sp. ,Green Algae (Chlorophyta)
"Staurastrum anatinum parvum Prescott, Bicudo & Vin",Green Algae (Chlorophyta)
Staurastrum ankyroides Wolle,Green Algae (Chlorophyta)
Staurastrum biradiatum,Green Algae (Chlorophyta)
Staurastrum biradiatum ,Green Algae (Chlorophyta)
Staurastrum brebissonii Archer,Green Algae (Chlorophyta)
Staurastrum brevispinum Brébisson,Green Algae (Chlorophyta)
Staurastrum cerastes,Green Algae (Chlorophyta)
Staurastrum cerastes ,Green Algae (Chlorophyta)
Staurastrum cingulum,Green Algae (Chlorophyta)
Staurastrum cingulum ,Green Algae (Chlorophyta)
Staurastrum curvatum var. elongatum GM Smith,Green Algae (Chlorophyta)
Staurastrum curvatum var. elongatum Smith,Green Algae (Chlorophyta)
Staurastrum curvatum W. West,Green Algae (Chlorophyta)
Staurastrum curvatum West,Green Algae (Chlorophyta)
Staurastrum curviceps Scott et Grönblad,Green Algae (Chlorophyta)
Staurastrum cuspidatum Ralfs,Green Algae (Chlorophyta)
Staurastrum dejectum (Brébisson) Ralfs,Green Algae (Chlorophyta)
Staurastrum dickiei Ralfs,Green Algae (Chlorophyta)
Staurastrum elongatum Barker,Green Algae (Chlorophyta)
Staurastrum furcatum Brébisson,Green Algae (Chlorophyta)
Staurastrum gracile Ralfs,Green Algae (Chlorophyta)
Staurastrum gracile var. coronulatum Boldt,Green Algae (Chlorophyta)
Staurastrum hystrix Ralfs,Green Algae (Chlorophyta)
Staurastrum johnsonii var. depauperatum,Green Algae (Chlorophyta)
Staurastrum johnsonii var. depauperatum ,Green Algae (Chlorophyta)
Staurastrum leptocladum var. insigne W. West et G.S. West,Green Algae (Chlorophyta)
Staurastrum leptocladum var. insigne West et West,Green Algae (Chlorophyta)
Staurastrum leptocladum var. sinuatum,Green Algae (Chlorophyta)
Staurastrum leptocladum var. sinuatum ,Green Algae (Chlorophyta)
Staurastrum limneticum,Green Algae (Chlorophyta)
Staurastrum limneticum ,Green Algae (Chlorophyta)
Staurastrum longipes (Nordstedt) Teiling,Green Algae (Chlorophyta)
Staurastrum manfeldtii var. fluminense Whitford et,Green Algae (Chlorophyta)
Staurastrum margaritaceum (Ehrenberg) Meneghini,Green Algae (Chlorophyta)
Staurastrum megacanthum Lundell,Green Algae (Chlorophyta)
Staurastrum micron West & West,Green Algae (Chlorophyta)
Staurastrum natator W. West,Green Algae (Chlorophyta)
Staurastrum natator West,Green Algae (Chlorophyta)
Staurastrum novae-caesareae Wolle,Green Algae (Chlorophyta)
Staurastrum paradoxum Meyen,Green Algae (Chlorophyta)
Staurastrum pentacerum GM Smith,Green Algae (Chlorophyta)
Staurastrum pentacerum Smith,Green Algae (Chlorophyta)
Staurastrum pingue Teiling,Green Algae (Chlorophyta)
Staurastrum polymorphum Brébisson,Green Algae (Chlorophyta)
Staurastrum punctulatum Brébisson,Green Algae (Chlorophyta)
Staurastrum quadrispinatum Scott et Grönblad,Green Algae (Chlorophyta)
Staurastrum sp.,Green Algae (Chlorophyta)
Staurastrum sp. 1 ?,Green Algae (Chlorophyta)
Staurastrum sp. 1 ANS FWA Adirondacks,Green Algae (Chlorophyta)
Staurastrum vestitum Ralfs,Green Algae (Chlorophyta)
