lake Name,DATE,YEAR,COL #,Unknown cyclopoid Total,Unknown cyclopoid Adult,Cyclopoid Unknown-Immature,Cyclops scutifer Total,Cyclops scutifer Adult,Cyclops scutifer Immature,Tropocyclops extensus Total,Tropocyclops extensus Adult,Tropocyclops extensus Immature,Mesocyclops edax Total,Mesocyclops edax,Mesocyclops edax Immature,Orthocyclops modesti Total,Orthocyclops modesti Adults,Orthocyclops modesti Immature,Cyclopoid copepidids,CYCOPEP ,Leptodiaptomus minutus Total,Leptodiaptomus minutus,Leptodiaptomus minutus Immature,Aglaodiaptomus leptopus Total,Aglaodiaptomus leptopus Adult,Aglaodiaptomus leptopus Immature,Skistidiaptomus oregonensis-Adult,Skistidiaptomus oregonensis-Immature,Skistodiaptomus oregonensis Total,Skistodiaptomus oregonensis Adult,Skistodiaptomus oregonensis Immature,Epischura lacustris Total,Epischura lacustris Adult,Epischura lacustris Immature,Daphnia mendotae,Daphnia pulicaria,Daphnia retrocurva,Daphnia dubia,Daphnia catawba,Daphnia ambigua,Daphnia pulex,Daphnia parvula,Bosmina longirostris,Eubosmina ,Diaphanosoma brachyurum,Diaphanosoma bergei,Holopedium gibberum,Polyphemus pediculus,Ceriodaphnia quadrangular,Chydoris species,Leptodora kindti,Alona sp.,Sida crystallina,,
Big Moose,8/19/1997,1997,11,0.00,0.00,0.00,2299.66,550.66,1749.00,0.00,0.00,0.00,290.00,97.00,193.00,0.00,0.00,0.00,0.00,0.00,6694.81,202.87,6491.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1091.65,0.00,0.00,0.00,531.00,4860.00,0.00,0.00,0.00,0.00,0.00,0.00,9.66,0.00,0.00,,
Big Moose,7/14/1998,1998,12,0.00,0.00,0.00,1368.00,782.00,586.00,0.00,0.00,0.00,811.76,466.01,345.75,0.00,0.00,0.00,0.00,0.00,4832.96,1510.77,3322.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.59,0.00,0.00,0.00,526.14,2097.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,8/17/1998,1998,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1677.00,794.00,883.00,0.00,0.00,0.00,0.00,0.00,4368.25,1492.06,2876.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,393.65,0.00,0.00,0.00,120.63,1752.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,6/30/1999,1999,14,0.00,0.00,0.00,2471.32,2162.40,308.91,0.00,0.00,0.00,679.61,679.61,0.00,0.00,0.00,0.00,0.00,0.00,20300.09,3433.36,16866.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,406.00,0.00,0.00,0.00,0.00,18084.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,8/24/1999,1999,15,0.00,0.00,0.00,1157.10,112.89,1044.21,1665.10,536.22,1128.88,301.03,0.00,301.03,0.00,0.00,0.00,0.00,0.00,2276.58,0.00,2276.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1307.62,0.00,0.00,0.00,0.00,4778.93,352.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,7/19/2000,2000,16,0.00,0.00,0.00,942.59,565.55,377.04,0.00,0.00,0.00,1670.95,642.67,1028.28,0.00,0.00,0.00,0.00,0.00,6101.11,5535.56,565.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,317.05,0.00,0.00,24901.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,8/21/2000,2000,17,0.00,0.00,0.00,3061.22,1020.41,2040.82,0.00,0.00,0.00,782.31,195.58,586.73,0.00,0.00,0.00,0.00,0.00,7585.03,7295.92,289.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,731.29,0.00,867.35,0.00,0.00,4770.41,144.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,7/11/2001,2001,18,0.00,0.00,0.00,965.08,241.27,723.81,0.00,0.00,0.00,3309.92,927.38,2382.54,0.00,0.00,0.00,0.00,0.00,11550.79,5217.46,6333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1191.27,0.00,0.00,0.00,1281.75,11482.94,82.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,8/8/2001,2001,19,0.00,0.00,0.00,1320.39,799.34,521.05,0.00,0.00,0.00,1569.08,959.21,609.87,0.00,0.00,0.00,0.00,0.00,14701.97,12422.37,2279.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3493.42,0.00,0.00,0.00,485.53,4298.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,8/14/2002,2002,20,0.00,0.00,0.00,544.22,314.63,229.59,8.50,8.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4668.39,3937.10,731.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,221.09,0.00,0.00,0.00,178.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,9/17/2002,2002,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,520.00,220.00,300.00,0.00,0.00,0.00,0.00,0.00,4000.00,2640.00,1360.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1720.00,0.00,220.00,0.00,140.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,7/16/2003,2003,22,0.00,0.00,0.00,3846.10,1578.90,2267.20,0.00,0.00,0.00,1246.99,323.89,923.10,0.00,0.00,0.00,0.00,0.00,6194.33,4412.96,1781.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1214.57,0.00,0.00,0.00,0.00,14858.30,0.00,0.00,0.00,80.97,0.00,0.00,0.00,0.00,0.00,,
Big Moose,9/5/2003,2003,23,0.00,0.00,0.00,673.68,103.68,570.00,0.00,0.00,0.00,1399.70,259.20,1140.50,0.00,0.00,0.00,0.00,0.00,12856.40,5572.84,7283.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2488.34,0.00,0.00,0.00,129.60,311.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,7/7/2004,2004,24,0.00,0.00,0.00,215.17,79.17,136.00,0.00,0.00,0.00,406.71,135.71,271.00,0.00,0.00,0.00,0.00,0.00,7362.50,1142.26,6220.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,531.55,0.00,0.00,0.00,0.00,5519.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,8/10/2004,2004,25,0.00,0.00,0.00,390.38,152.38,238.00,0.00,0.00,0.00,409.00,152.00,257.00,0.00,0.00,0.00,0.00,0.00,6657.14,580.95,6076.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,390.48,0.00,0.00,0.00,0.00,238.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,7/20/2005,2005,26,0.00,0.00,0.00,3547.73,111.36,3436.36,15.91,0.00,15.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3452.27,556.82,2895.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,127.27,0.00,0.00,0.00,159.09,1702.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,8/17/2005,2005,27,0.00,0.00,0.00,3245.45,143.18,3102.27,63.62,31.80,31.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3690.91,1527.27,2163.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.45,0.00,0.00,0.00,111.36,1177.27,0.00,0.00,15.91,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,7/17/2006,2006,28,0.00,0.00,0.00,3100.00,240.00,2860.00,80.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9440.00,460.00,8980.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00,0.00,0.00,1340.00,960.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,8/16/2006,2006,29,0.00,0.00,0.00,1750.00,145.00,1605.00,0.00,0.00,0.00,355.00,20.00,335.00,0.00,0.00,0.00,0.00,0.00,7590.00,1080.00,6510.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,710.00,0.00,0.00,0.00,305.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,7/12/2007,2007,30,0.00,0.00,0.00,0.00,6.00,34.00,0.00,0.00,0.00,0.00,42.00,184.00,0.00,0.00,0.00,0.00,0.00,0.00,46.00,850.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.00,0.00,0.00,0.00,58.00,354.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,7/31/2007,2007,31,0.00,0.00,0.00,0.00,67.86,186.61,0.00,0.00,0.00,0.00,475.00,1306.25,0.00,0.00,0.00,0.00,0.00,0.00,865.18,7209.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1662.50,0.00,0.00,0.00,0.00,3240.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,7/1/2008,2008,32,0.00,0.00,0.00,0.00,147.37,1571.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1178.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1436.84,0.00,0.00,0.00,1506.43,4040.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,8/4/2008,2008,33,0.00,0.00,0.00,0.00,510.88,1442.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,129.12,275.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,303.16,0.00,0.00,0.00,0.00,1375.44,0.00,0.00,11.23,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,7/8/2010,2010,36,0.00,0.00,0.00,0.00,545.32,475.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.38,165.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,479.00,0.00,0.00,0.00,136.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,8/18/2010,2010,37,0.00,0.00,0.00,0.00,317.18,167.40,0.00,308.37,185.02,0.00,44.05,26.43,0.00,0.00,0.00,0.00,0.00,0.00,792.95,872.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,572.69,70.48,0.00,0.00,837.00,2528.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,7/12/2011,2011,38,0.00,0.00,0.00,0.00,864.51,5215.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.03,425.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,878.68,0.00,0.00,0.00,11366.21,1899.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,8/9/2011,2011,39,0.00,0.00,0.00,0.00,306.03,1314.13,0.00,9.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,261.03,1521.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1044.10,108.01,0.00,0.00,198.02,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,7/9/2012,2012,40,0.00,0.00,0.00,0.00,790.22,1364.06,0.00,37.63,75.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,442.14,1919.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.07,0.00,1420.51,0.00,0.00,9.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,8/7/2012,2012,41,0.00,0.00,0.00,0.00,997.18,2295.39,0.00,338.66,395.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2822.20,2013.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,188.15,0.00,0.00,0.00,7939.79,0.00,56.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Brooktrout,7/13/1994,1994,1,0.00,0.00,0.00,4136.55,3598.00,538.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,735.19,508.43,226.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1849.49,0.00,0.00,0.00,0.00,3.54,0.00,0.00,0.00,0.00,0.00,,
Brooktrout,7/26/1994,1994,2,0.00,0.00,0.00,5200.00,5005.00,195.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,585.00,422.50,162.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Brooktrout,8/22/1994,1994,3,0.00,0.00,0.00,472.87,364.13,108.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12215.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Brooktrout,6/12/1995,1995,4,0.00,0.00,0.00,2533.22,1976.05,557.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.69,0.00,0.00,0.00,0.00,0.00,,
Brooktrout,8/14/1995,1995,5,0.00,0.00,0.00,965.00,850.00,115.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Brooktrout,9/5/1995,1995,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Brooktrout,7/17/1996,1996,8,0.00,0.00,0.00,1063.00,1063.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6654.00,6654.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Brooktrout,8/13/1996,1996,9,0.00,0.00,0.00,916.84,810.79,106.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.32,51.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.26,0.00,0.00,0.00,13.68,0.00,0.00,0.00,0.00,10.26,0.00,0.00,0.00,0.00,0.00,,
Brooktrout,7/7/1997,1997,10,0.00,0.00,0.00,5104.17,3635.42,1468.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,856.25,147.92,708.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.67,0.00,0.00,0.00,377.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Brooktrout,8/11/1997,1997,11,0.00,0.00,0.00,4725.80,1620.58,3105.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107.32,46.51,60.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.46,0.00,0.00,0.00,10.73,0.00,0.00,0.00,0.00,3.58,0.00,0.00,0.00,0.00,0.00,,
Brooktrout,7/7/1998,1998,12,0.00,0.00,0.00,4305.56,2583.33,1722.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1763.89,1000.00,763.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Brooktrout,8/12/1998,1998,13,0.00,0.00,0.00,8338.89,4864.35,3474.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2762.04,1829.63,932.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Brooktrout,7/6/1999,1999,14,0.00,0.00,0.00,2400.00,2160.00,240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Brooktrout,8/16/1999,1999,15,0.00,0.00,0.00,1769.71,703.25,1066.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,193.20,0.00,0.00,0.00,0.00,170.02,0.00,0.00,0.00,,
Brooktrout,7/11/2000,2000,16,0.00,0.00,0.00,3473.76,3473.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Brooktrout,8/14/2000,2000,17,0.00,0.00,0.00,654.10,469.33,184.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,369.55,369.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.78,0.00,0.00,0.00,,
Brooktrout,7/9/2001,2001,18,0.00,0.00,0.00,3400.00,1275.00,2125.00,0.00,0.00,0.00,1465.00,1220.00,245.00,0.00,0.00,0.00,0.00,0.00,155.00,50.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
